id,doctor_id,department_id,days_of_week,shift_start,shift_end,room_number,max_daily_patients,is_active
sch_19,doc_19,dep_ent,"Mon,Tue,Thu,Fri",09:00 AM,05:00 PM,Room 306,35,True
sch_20,doc_20,dep_derm,"Mon,Tue,Wed,Thu,Fri,Sat",08:30 AM,04:30 PM,Room 307,40,True
sch_21,doc_21,dep_derm,"Mon,Wed,Fri,Sat",09:30 AM,05:30 PM,Room 308,30,True
sch_22,doc_22,dep_derm,"Tue,Wed,Thu,Fri,Sat",10:00 AM,06:00 PM,Room 309,35,True
sch_23,doc_23,dep_gyn,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 401,35,True
sch_24,doc_24,dep_gyn,"Mon,Tue,Wed,Thu,Fri",08:30 AM,04:30 PM,Room 402,30,True
sch_25,doc_25,dep_gyn,"Mon,Wed,Fri,Sat",09:00 AM,05:00 PM,Room 403,25,True
sch_26,doc_26,dep_gastro,"Mon,Tue,Wed,Thu,Fri",08:30 AM,04:30 PM,Room 404,30,True
sch_27,doc_27,dep_gastro,"Tue,Thu,Fri,Sat",09:30 AM,05:30 PM,Room 405,25,True
sch_28,doc_28,dep_onc,"Mon,Tue,Wed,Thu,Fri",08:00 AM,04:00 PM,Room 406,20,True
sch_29,doc_29,dep_onc,"Mon,Wed,Fri,Sat",09:00 AM,05:00 PM,Room 407,20,True
sch_30,doc_30,dep_pulm,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 408,35,True
sch_31,doc_31,dep_pulm,"Mon,Tue,Wed,Fri",09:00 AM,05:00 PM,Room 409,30,True
sch_32,doc_32,dep_psych,"Mon,Tue,Wed,Thu,Fri",08:30 AM,04:30 PM,Room 410,25,True
sch_33,doc_33,dep_psych,"Tue,Wed,Thu,Fri,Sat",09:30 AM,05:30 PM,Room 411,25,True
sch_34,doc_34,dep_uro,"Mon,Tue,Wed,Thu,Fri",08:00 AM,04:00 PM,Room 412,30,True
sch_35,doc_35,dep_uro,"Mon,Wed,Fri,Sat",09:00 AM,05:00 PM,Room 413,25,True
sch_36,doc_36,dep_pharm,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",08:00 AM,08:00 PM,Room RX-1,100,True
sch_37,doc_37,dep_pharm,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",09:00 AM,09:00 PM,Room RX-2,100,True
sch_38,doc_38,dep_pharm,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",10:00 AM,10:00 PM,Room RX-3,100,True
sch_39,doc_39,dep_emg,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",12:00 AM,11:59 PM,Room EMG-1,999,True
sch_40,doc_40,dep_emg,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",12:00 AM,11:59 PM,Room EMG-2,999,True
sch_41,doc_41,dep_emg,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",12:00 AM,11:59 PM,Room EMG-3,999,True
sch_42,doc_42,dep_gen,"Mon,Tue,Wed,Thu,Fri,Sat",09:00 AM,05:00 PM,Room 109,35,True
sch_43,doc_43,dep_gen,"Mon,Tue,Wed,Thu,Fri",08:30 AM,04:30 PM,Room 110,40,True
sch_44,doc_44,dep_card,"Mon,Wed,Fri,Sat",09:00 AM,05:00 PM,Room 203,25,True
sch_45,doc_45,dep_ped,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 111,35,True
sch_46,doc_46,dep_ortho,"Mon,Tue,Wed,Thu,Fri",09:30 AM,05:30 PM,Room 207,30,True
sch_47,doc_47,dep_neuro,"Mon,Wed,Fri,Sat",08:30 AM,04:30 PM,Room 310,20,True
sch_48,doc_48,dep_gastro,"Mon,Tue,Wed,Thu,Fri",09:00 AM,05:00 PM,Room 414,25,True
sch_49,doc_49,dep_pulm,"Mon,Tue,Wed,Thu,Fri,Sat",08:00 AM,04:00 PM,Room 415,30,True
sch_50,doc_50,dep_emg,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",12:00 AM,11:59 PM,Room EMG-4,999,True
